question,level,btl,source
(16) 14. Describe the operation of a bistable multivibrator using Op-amp,medium,4,srm
data center traffic flows? 11. Explore scalability issues in data center networks.,medium,4,srm
"Interpret the concept of distributed denial of service (DDoS) attacks, discussing their mechanisms and mitigation strategies.",easy,2,devane
Which type of error is caused by trying to access unknown attributes? Explain,easy,1,srm
Derive the radiation components of field from a rectangular,medium,4,srm
. Level 1. What is meant by a transformer? How the Faraday’s law of,easy,1,srm
Propose creative solutions for reducing the environmental impact of data centers while maintaining their performance and reliability.,medium,3,devane
What is the packaging scenario of world and India.,easy,1,devane
"Give a FA which accepts the only input 101 over the input set: Z={0,1}",easy,2,srm
Define multistage graphs. Give an example.,easy,2,srm
What is the governing equation for Transient Diffusion?,easy,1,srm
List the power modes supported by Cortex-M processors.,easy,2,srm
Define insertion sort.,easy,1,srm
Draw neat diagram of I -V converter and derive the equation for output voltage.,easy,1,devane
Show that the Fermi-Dirac function is a step function at T = 0 K.,medium,3,devane
(b) Determine the average probability of error and Euclidean,medium,4,srm
A establishing and maintaining an unbroken chain of 08,medium,3,srm
Describe the recommended lipid intake and its importance in maintaining health. (13) CO 4,medium,3,srm
in Bode plot. Interpret the slope change in Bode magnitude plot for a single CO 3 14.,easy,2,srm
Point out the application of capacitive transducer.,easy,2,srm
Define the intensity of magnetization.,easy,1,srm
Give the significance of partitioning in query optimization.,easy,2,srm
Describe security mechanism.,easy,2,srm
Explain the types of Lighting Scheme with diagrams.,easy,1,devane
What is Environmental SEM? Discuss its advantages and,medium,4,srm
What is edge computing in IoT?,easy,2,srm
Identify the ROI segmented in blood vessel analysis. CO 5,easy,2,srm
Recognize subjectivity in a discussion about the most beautiful artwork.,hard,5,devane
Name the test signals used in control system. CO 2,easy,1,srm
software development? Demonstrate in detail about most common code refactoring,medium,3,srm
energy management a. Utility meters b. Demand meters 3. Summarize the need of paralleling of CT with,medium,3,srm
What do you mean by RTOS?,easy,1,srm
Suppose that the relation R on a set is represented by the matrix MR.,easy,1,devane
Outline the standard libraries for WML script.,easy,2,srm
Draw & explain the working principle of chain-balanced float type density measurement technique. Enlist other two techniques for density measurement.,easy,1,devane
List any two types of actuators used in IoT.,easy,1,srm
"transfer function is, (16) 14. Explain the steps involved in constructing root locus.",medium,3,srm
"Give the origin, amplitude and duration of the different waves in ECG.",easy,2,srm
Design an innovative wastewater treatment plant that utilizes decentralized treatment technologies and natural treatment systems for wastewater reuse and resource recovery.,hard,6,devane
What is configuration identification in SCM?,easy,1,devane
propagation. 5 Write the pulse-echo principle used in ultrasound imaging? CO 5,easy,2,srm
"Define cut in, cut out and rated speed as applied in wind energy system with suitable diagram.",easy,1,devane
State the output of a given settlement analysis of a mat foundation?,easy,1,devane
classification tree. List and explain about the different procedures (16) used. Explain Naive Bayes Classifier with an Example.,medium,4,srm
What would happen if . . .?,hard,6,devane
Describe the THREE (3) causes of concrete blister.,easy,2,devane
What is the goal of using inference algorithms?,easy,2,srm
Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,medium,4,devane
examples. 5. Describe OGNL and explain how it works with the value stack in,hard,5,srm
What is the function of a heat exchanger in TES?,easy,1,srm
Define the term perceptron.,easy,1,srm
Renovate decimal to octal.,easy,1,srm
Formulate Data Science Challenges in Healthcare applications.,medium,3,srm
Show how to calculate the volume of a cylinder.,medium,3,devane
Explain containment and Inheritance along with examples.,easy,1,devane
In commutation explain the following terms (16) CO2 (i) Mechanical Cause of Commutation (ii) Electrical cause Of commutation (iii) Process of commutation (iv) Methods to improve commutation. (4+4+4+4),hard,5,srm
Discuss various types of flow with suitable example and mathematical expression.,easy,1,devane
Give two examples of classification problems.,easy,1,srm
Tell me about a favorite childhood story or fairy tale.,easy,1,devane
when to use component diagrams?,easy,2,srm
State the purpose of catalytic converters. 1,easy,2,srm
Can you invent a new method for harnessing geothermal energy for heating and cooling?,hard,6,devane
Draw the symbol of IGBT.,easy,1,srm
- Discuss the process of,medium,3,srm
What is the purpose of protocol layering?,easy,2,srm
illustration. 5 Explain the role of VR environment incorporates in future.,hard,5,srm
List out the ways regularization techniques help in avoiding overfitting in 14,easy,2,srm
What is Android?,easy,1,srm
List the techniques used to perform Social Engineering attacks.,medium,3,srm
Outline the steps involved in selecting the right person for the job.,easy,2,srm
Name two common types of cameras used in machine vision systems.,easy,1,srm
Give the various Database replication techniques.,easy,2,srm
Illustrate on principles of channel State Information at 16,medium,3,srm
(13) 8 Predict functional importance between chemostat and turbidostat continuous,medium,4,srm
List the components of AMI.,easy,1,srm
Compare vapour compression and vapour abortion refrigeration system.,medium,4,devane
Differentiate break and continue statements.,easy,2,srm
Explain Avro file format.,medium,3,srm
How many automobile license plates can be made if each plate contains two different letters followed by three different digits.,medium,3,devane
V D.C. by comparing with 200V A.C? (16) 11. Explain the operation of dynamometer type ammeter with torque CO 01,medium,4,srm
Construct a program for smart agriculture and explain with relevant,medium,3,srm
Develop a novel blockchain-based solution for ensuring the integrity and transparency of supply chain transactions across multiple organizations.,hard,6,devane
Assess the characteristics of Risk based CTI.,hard,5,srm
How would you show a “Dangle” in an activity Network?,easy,1,srm
State the Dirichlet’s conditions of Fourier series.,easy,1,srm
Compare cracking and reforming.,easy,2,srm
(16) Choose a JSP program to show a Sample Order Form. (16) Item Price Quantity Total Price 17. DVD,hard,5,srm
filters. 4 Mention the different formats of fixed point representation. CO 5,easy,2,srm
conferencing with a neat flow diagram. 2,hard,6,srm
about each. 2. Explain the different types of color bin system used for medical,medium,4,srm
Compare the various IoT communication protocols and explain with neat,medium,4,srm
Define Agile ALM.,easy,1,srm
List the characteristics of user interfaces.,easy,1,srm
Show the limitations in the operation of matrix 14.,medium,3,srm
Write the statement of Coulomb’s law. 2,easy,1,srm
challenges in multimedia systems. 17. What is the purpose of metadata in multimedia files?,easy,1,srm
An axial pull of 25 kN along with a shear force of 20 kN is applied to a circular bar of 20 mm diameter.,medium,3,devane
-bit full adder. 2.,medium,4,srm
Critique the reliability of a deep learning model for medical diagnosis based on limited training data.,hard,5,devane
Can the t-test is used to measure the difference among several groups.,easy,2,srm
Describe the RBF network architecture.,easy,2,srm
Summarize the Protocols and Legal Sequences. (16) Describe the steps to,easy,1,srm
Distinguish between receiver diversity and transmitter diversity.,easy,2,srm
"through the inductor of 100mH. 21. In terms of field quantities, write the energy stored in a magnetic field. 3",easy,1,srm
Plan a distributed computing framework for processing large-scale scientific datasets across multiple heterogeneous computing nodes.,hard,6,devane
management and what are its applications in e- commerce? - Discuss the role of electronic payments in e-commerce. What are the different types of electronic payment 7 16,easy,2,srm
Why is software testing essential in defect prevention?,easy,2,srm
discuss their advantages and disadvantages. Describe the major types of organization structures such as,medium,3,srm
+j4Ω. On the same diagram show the operating characteristics of (1) Impedance relay (2) Reactance relay (3) Mho relay. (5+5+3) CO2 Assume that those relays are adjusted to just operate for a,hard,5,srm
